,s,E,b,hits,misses,evics,MR%
0,1,2,13,8.0,1.0,0.0,11.11
1,1,4,12,8.0,1.0,0.0,11.11
2,1,8,11,8.0,1.0,0.0,11.11
3,1,16,10,8.0,1.0,0.0,11.11
4,1,32,9,7.0,2.0,0.0,22.22
5,1,64,8,6.0,3.0,0.0,33.33
6,1,128,7,6.0,3.0,0.0,33.33
7,1,256,6,6.0,3.0,0.0,33.33
8,1,512,5,5.0,4.0,0.0,44.44
9,1,1024,4,5.0,4.0,0.0,44.44
10,1,2048,3,4.0,5.0,0.0,55.56
11,2,2,12,8.0,1.0,0.0,11.11
12,2,4,11,8.0,1.0,0.0,11.11
13,2,8,10,8.0,1.0,0.0,11.11
14,2,16,9,7.0,2.0,0.0,22.22
15,2,32,8,6.0,3.0,0.0,33.33
16,2,64,7,6.0,3.0,0.0,33.33
17,2,128,6,6.0,3.0,0.0,33.33
18,2,256,5,5.0,4.0,0.0,44.44
19,2,512,4,5.0,4.0,0.0,44.44
20,2,1024,3,4.0,5.0,0.0,55.56
21,3,2,11,8.0,1.0,0.0,11.11
22,3,4,10,8.0,1.0,0.0,11.11
23,3,8,9,7.0,2.0,0.0,22.22
24,3,16,8,6.0,3.0,0.0,33.33
25,3,32,7,6.0,3.0,0.0,33.33
26,3,64,6,6.0,3.0,0.0,33.33
27,3,128,5,5.0,4.0,0.0,44.44
28,3,256,4,5.0,4.0,0.0,44.44
29,3,512,3,4.0,5.0,0.0,55.56
30,4,2,10,8.0,1.0,0.0,11.11
31,4,4,9,7.0,2.0,0.0,22.22
32,4,8,8,6.0,3.0,0.0,33.33
33,4,16,7,6.0,3.0,0.0,33.33
34,4,32,6,6.0,3.0,0.0,33.33
35,4,64,5,5.0,4.0,0.0,44.44
36,4,128,4,5.0,4.0,0.0,44.44
37,5,2,9,7.0,2.0,0.0,22.22
38,5,4,8,6.0,3.0,0.0,33.33
39,5,8,7,6.0,3.0,0.0,33.33
40,5,16,6,6.0,3.0,0.0,33.33
41,5,32,5,5.0,4.0,0.0,44.44
42,6,2,8,6.0,3.0,0.0,33.33
43,6,4,7,6.0,3.0,0.0,33.33
44,6,8,6,6.0,3.0,0.0,33.33
45,7,2,7,6.0,3.0,0.0,33.33
